History No,Type,Fresh,Rotten,Date and Time
1,Scanner,10,2,2021-08-01 12:00:00
2,Detector,8,4,2021-08-02 13:30:00
3,Scanner,6,6,2021-08-03 15:45:00
4,Scanner,9,3,2021-08-04 10:15:00
5,Detector,7,5,2021-08-05 11:20:00
6,Detector,0,0,2025-01-20 01:57:03
7,Detector,0,0,2025-01-20 01:59:02
8,Detector,5,2,2025-01-20 08:10:22
9,Scanner,0,6,2025-01-20 08:16:35
10,Detector,8,2,2025-01-20 08:19:30
11,Scanner,0,1,2025-01-20 08:20:56
12,Detector,3,0,2025-01-20 11:46:47
13,Detector,2,1,2025-01-20 11:47:09
14,Scanner,5,0,2025-01-20 11:48:30
15,Detector,2,1,2025-01-20 20:15:04
16,Detector,0,0,2025-01-20 20:15:28
17,Scanner,55,40,2025-01-20 20:16:08
17,Detector,2,1,2025-01-20 20:17:06
19,Scanner,79,116,2025-01-20 20:18:10
20,Detector,0,0,2025-01-31 16:04:10
21,Detector,1,0,2025-01-31 16:04:44
22,Scanner,0,2,2025-01-31 16:05:22
23,Scanner,24,44,2025-02-06 22:48:54
24,Scanner,0,1,2025-03-26 02:10:42
